MeanInsideTemp,AVGHumidityInside,OutsideTemp,HumidityOutside,temp,rhum,wspd,pres,prcp
18.47181321,88.28165205,-0.050845865,83.10836466,-2,93,3.6,1025,0
18.46258354,88.27938596,-0.056954887,83.22988722,-1,93,3.6,1025,0
18.45335387,88.27711988,-0.06306391,83.35140977,2.4,83,3.6,1028,0
18.4441242,88.2748538,-0.069172932,83.47293233,6,65,7.6,1025,0
18.43489453,88.27258772,-0.075281955,83.59445489,7,61,3.6,1024,0
18.42566486,88.27032164,-0.081390977,83.71597744,8.4,57,3.6,1024.4,0
18.41643519,88.26805556,-0.0875,83.8375,10,50,7.6,1022,0
18.40720551,88.26578947,-0.093609023,83.95902256,11,47,7.6,1021,0
18.39797584,88.26352339,-0.099718045,84.08054511,11,46,7.2,1022.2,0
18.38874617,88.26125731,-0.105827068,84.20206767,8,57,7.6,1020,0
18.3795165,88.25899123,-0.11193609,84.32359023,6,61,3.6,1020,0
18.37028683,88.25672515,-0.118045113,84.44511278,4.6,76,3.6,1023.8,0
18.36105716,88.25445906,-0.124154135,84.56663534,2,75,3.6,1020,0
18.35182749,88.25219298,-0.130263158,84.68815789,2,75,3.6,1020,0
18.34259781,88.2499269,-0.13637218,84.80968045,1.6,70,7.2,1022.7,0
18.33336814,88.24766082,-0.142481203,84.93120301,3,65,7.6,1019,0
18.32413847,88.24539474,-0.148590226,85.05272556,0,74,3.6,1018,0
18.3149088,88.24312865,-0.154699248,85.17424812,1.5,69,3.6,1020.2,0
18.30567913,88.24086257,-0.160808271,85.29577068,1,75,3.6,1017,0
18.29644946,88.23859649,-0.166917293,85.41729323,0,74,7.6,1017,0
18.28721979,88.23633041,-0.173026316,85.53881579,-1.3,77,3.6,1018.6,0
18.27799011,88.23406433,-0.179135338,85.66033835,-2,74,3.6,1016,0
18.26876044,88.23179825,-0.185244361,85.7818609,-1,80,3.6,1016,0
18.25953077,88.22953216,-0.191353383,85.90338346,-2.1,84,3.6,1019.2,0
18.2503011,88.22726608,-0.197462406,86.02490602,-4,86,3.6,1015,0
18.24107143,88.225,-0.203571429,86.14642857,1,75,3.6,1016,0
18.23184176,88.22273392,-0.209680451,86.26795113,4.5,64,3.6,1017.8,0
18.22261209,88.22046784,-0.215789474,86.38947368,7,49,3.6,1014,0
18.21338241,88.21820175,-0.221898496,86.51099624,10,40,11.2,1014,0
18.20415274,88.21593567,-0.228007519,86.6325188,13.3,34,3.6,1012.6,0
18.19492307,88.21366959,-0.234116541,86.75404135,15,29,35.3,1011,0
